vial,spot,layer,analyte,mgl
379-21,25,Int,Total P mg/l,0.48
376-21,22,Int,Total P mg/l,0.94
365-21,11,Int,Total P mg/l,0.16
370-21,16,Int,Total P mg/l,0.32
385-21,31,Int,Total P mg/l,0.096
357-21,3,Int,Total P mg/l,0.3
366-21,12,Int,Total P mg/l,0.25
382-21,28,Int,Total P mg/l,0.06
362-21,8,Int,Total P mg/l,0.14
378-21,24,Int,Total P mg/l,1.3
383-21,29,Int,Total P mg/l,0.14
380-21,26,Int,Total P mg/l,1
359-21,5,Int,Total P mg/l,0.26
367-21,13,Int,Total P mg/l,4.4
372-21,18,Int,Total P mg/l,1.2
374-21,20,Int,Total P mg/l,2.4
364-21,10,Int,Total P mg/l,0.29
355-21,1,Int,Total P mg/l,1.3
377-21,23,Int,Total P mg/l,0.62
360-21,6,Int,Total P mg/l,0.42
363-21,9,Int,Total P mg/l,1.6
375-21,21,Int,Total P mg/l,4.9
361-21,7,Int,Total P mg/l,0.61
358-21,4,Int,Total P mg/l,1.4
384-21,30,Int,Total P mg/l,1.2
344-21,22,Pel,Total P mg/l,0.004
341-21,19,Pel,Total P mg/l,0.006
350-21,28,Pel,Total P mg/l,0.008
343-21,21,Pel,Total P mg/l,0.003
351-21,29,Pel,Total P mg/l,0.01
353-21,31,Pel,Total P mg/l,0.021
346-21,24,Pel,Total P mg/l,0.008
331-21,9,Pel,Total P mg/l,0.008
348-21,26,Pel,Total P mg/l,0.016
347-21,25,Pel,Total P mg/l,0.018
332-21,10,Pel,Total P mg/l,0.008
330-21,8,Pel,Total P mg/l,0.007
333-21,11,Pel,Total P mg/l,0.004
342-21,20,Pel,Total P mg/l,0.003
327-21,5,Pel,Total P mg/l,0.01
329-21,7,Pel,Total P mg/l,0.008
352-21,30,Pel,Total P mg/l,0.034
334-21,12,Pel,Total P mg/l,0.007
324-21,2,Pel,Total P mg/l,0.008
335-21,13,Pel,Total P mg/l,0.007
340-21,18,Pel,Total P mg/l,0.011
339-21,17,Pel,Total P mg/l,0.011
326-21,4,Pel,Total P mg/l,0.009
323-21,1,Pel,Total P mg/l,0.018
336-21,14,Pel,Total P mg/l,0.013
345-21,23,Pel,Total P mg/l,0.004
337-21,15,Pel,Total P mg/l,0.008
328-21,6,Pel,Total P mg/l,0.008
325-21,3,Pel,Total P mg/l,0.013
338-21,16,Pel,Total P mg/l,0.023
356-21,2,Int,Orthophosphate mg/l,0.6
371-21,17,Int,Orthophosphate mg/l,2.6
368-21,14,Int,Orthophosphate mg/l,1
373-21,19,Int,Orthophosphate mg/l,3.1
379-21,15,Int,Orthophosphate mg/l,0.5
379-21,25,Int,Orthophosphate mg/l,0.5
376-21,22,Int,Orthophosphate mg/l,1.1
365-21,11,Int,Orthophosphate mg/l,0.075
370-21,16,Int,Orthophosphate mg/l,0.47
385-21,31,Int,Orthophosphate mg/l,0.12
357-21,3,Int,Orthophosphate mg/l,0.37
366-21,12,Int,Orthophosphate mg/l,0.33
382-21,28,Int,Orthophosphate mg/l,0.071
362-21,8,Int,Orthophosphate mg/l,0.14
378-21,24,Int,Orthophosphate mg/l,0.61
383-21,29,Int,Orthophosphate mg/l,0.18
380-21,26,Int,Orthophosphate mg/l,1.2
359-21,5,Int,Orthophosphate mg/l,0.31
367-21,13,Int,Orthophosphate mg/l,4.9
372-21,18,Int,Orthophosphate mg/l,1.3
374-21,20,Int,Orthophosphate mg/l,2.7
364-21,10,Int,Orthophosphate mg/l,0.27
355-21,1,Int,Orthophosphate mg/l,1.4
377-21,23,Int,Orthophosphate mg/l,0.17
360-21,6,Int,Orthophosphate mg/l,0.47
363-21,9,Int,Orthophosphate mg/l,1.3
375-21,21,Int,Orthophosphate mg/l,5.4
361-21,7,Int,Orthophosphate mg/l,0.47
358-21,4,Int,Orthophosphate mg/l,1
384-21,30,Int,Orthophosphate mg/l,1.4
344-21,22,Pel,Orthophosphate mg/l,0.0018
341-21,19,Pel,Orthophosphate mg/l,0.0036
350-21,28,Pel,Orthophosphate mg/l,0.0039
343-21,21,Pel,Orthophosphate mg/l,0.0014
351-21,29,Pel,Orthophosphate mg/l,0.0042
353-21,31,Pel,Orthophosphate mg/l,0.016
346-21,24,Pel,Orthophosphate mg/l,0.0033
331-21,9,Pel,Orthophosphate mg/l,NA
348-21,26,Pel,Orthophosphate mg/l,0.0091
