analyte,term,benthic_range,benthic_nugget,benthic_value,benthic_std_error,benthic_t_value,benthic_p_value,pelagic_range,pelagic_nugget,pelagic_value,pelagic_std_error,pelagic_t_value,pelagic_p_value,pelben_range,pelben_nugget,pelben_value,pelben_std_error,pelben_t_value,pelben_p_value
tin,Intercept,30.667500132789467,0.11624584480668472,-0.88540031676031306,1.3108657276760405,-0.675431738023992,0.5051455338564017,10239892.719094604,1.061405273844191e-4,-0.008592006731879709,1.6159718820984263,-0.0053169283618490475,0.9957968158188654,91.01191398155011,0.11995955276074992,0.02570091804210773,0.010163033316709074,2.5288629133836227,0.017594441185806727
tin,eaststd,30.667500132789467,0.11624584480668472,0.7215280842842224,0.275930574669327,2.614889941605405,0.014426244636087346,10239892.719094604,1.061405273844191e-4,0.002012913063545887,0.00836843600822256,0.2405363513048391,0.8117315444282112,91.01191398155011,0.11995955276074992,-2.340233808124181e-4,0.002139142296965991,-0.10940056729481737,0.9136938433612068
tin,northstd,30.667500132789467,0.11624584480668472,0.39599672369468636,0.25128252116335775,1.5759023821527582,0.12669439228100657,10239892.719094604,1.061405273844191e-4,5.907448301125781e-4,0.008039290027550484,0.073482213987567,0.9419640860027623,91.01191398155011,0.11995955276074992,-0.00121994659322573,0.001948109230764059,-0.6262208370868713,0.5364288506414414
don,Intercept,5633679.965070223,3.067680071577314e-4,2.3543756907137148,58.39448684443322,0.04031845843574116,0.9681359006492529,2141.420731214863,2.2691517868388607e-9,0.28132500442201425,0.08541828002780252,3.2934988193446024,0.002765793321352604,NA,NA,NA,NA,NA,NA
don,eaststd,5633679.965070223,3.067680071577314e-4,-0.386771099873279,0.4154865606904621,-0.9308871488659868,0.3601612171064462,2141.420731214863,2.2691517868388607e-9,-0.0168036924681239,0.015142208364153701,-1.1097253494347261,0.2769036994767069,NA,NA,NA,NA,NA,NA
don,northstd,5633679.965070223,3.067680071577314e-4,0.2287748365898945,0.3980836756522848,0.5746903241260339,0.5702587204072075,2141.420731214863,2.2691517868388607e-9,0.005468660142259389,0.014106131768496228,0.3876796440022459,0.7012926259577039,NA,NA,NA,NA,NA,NA
dop,Intercept,35.612030729605614,0.1388780929061682,0.027656224501066962,0.12888109073691478,0.21458713875662075,0.8317017205524231,3337859.0335470675,0.0012129445622757178,0.007912080127715436,0.07425239289395386,0.1065565676653054,0.9159285685076519,NA,NA,NA,NA,NA,NA
dop,eaststd,35.612030729605614,0.1388780929061682,-0.025473085702098882,0.027128814662268862,-0.9389678841194344,0.3560718736612618,3337859.0335470675,0.0012129445622757178,-9.89115380832255e-4,7.239530809702287e-4,-1.3662700067615718,0.18312629173354972,NA,NA,NA,NA,NA,NA
dop,northstd,35.612030729605614,0.1388780929061682,0.007404381255832888,0.02470547875485695,0.29970604210117685,0.7666965719310789,3337859.0335470675,0.0012129445622757178,-1.263182744274942e-4,6.895107100271317e-4,-0.1831998728816318,0.856009981710684,NA,NA,NA,NA,NA,NA
np,Intercept,8638409.49909001,1.7071028505992887e-4,17.98214924364972,469.00319146263973,0.03834120869747249,0.9696977274322351,2017.3065442401787,0.2601777868582084,16.434017970308407,13.28946476626238,1.2366200038416162,0.22687740846531465,8938934.63419924,7.800252542158231e-6,3.1650867038510553,904.8542521958764,0.003497896701231283,0.9972348047919861
np,eaststd,8638409.49909001,1.7071028505992887e-4,-0.9594400497639047,2.6760868275677536,-0.3585235127202215,0.7227397590619485,2017.3065442401787,0.2601777868582084,-0.2445053144595779,2.4172279446091145,-0.10115112023459434,0.9201779186165787,8938934.63419924,7.800252542158231e-6,-0.23445472863935268,4.8049324363456165,-0.04879459425191561,0.9614421543698519
np,northstd,8638409.49909001,1.7071028505992887e-4,0.7272310874644345,2.566462887954931,0.28335928443676967,0.7790628134440072,2017.3065442401787,0.2601777868582084,5.642496011857111,2.2303532327900712,2.529866538135129,0.017554025067284717,8938934.63419924,7.800252542158231e-6,-0.7215210614171479,4.651940411268501,-0.15510109709689984,0.8778953122851675
